2018-05-26 15:38:54.055448;hr50;state;0
2018-05-26 15:38:54.055884;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:54.056087;sensor_1-branch_19;I_real;0.17726471529971943
2018-05-26 15:38:54.056256;sensor_2-node_b5;Vm;10499.624070368354
2018-05-26 15:38:54.056420;sensor_2-branch_24;I_real;0.021456788354053017
2018-05-26 15:38:54.056576;sensor_3-node_b5;Vm;10499.624070368354
2018-05-26 15:38:54.056726;sensor_3-branch_25;I_real;0.09378379788543047
2018-05-26 15:38:54.056876;sensor_4-node_b5;Vm;10499.624070368354
2018-05-26 15:38:54.057020;sensor_4-branch_36;I_real;0.06202412896183024
2018-05-26 15:38:54.546382;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:54.546655;sensor_1-branch_19;I_real;0.17726471529971943
2018-05-26 15:38:54.546896;sensor_2-node_b5;Vm;10499.624070368354
2018-05-26 15:38:54.547083;sensor_2-branch_24;I_real;0.021456788354053017
2018-05-26 15:38:54.547246;sensor_3-node_b5;Vm;10499.624070368354
2018-05-26 15:38:54.547400;sensor_3-branch_25;I_real;0.09378379788543047
2018-05-26 15:38:54.547543;sensor_4-node_b5;Vm;10499.624070368354
2018-05-26 15:38:54.547683;sensor_4-branch_36;I_real;0.06202412896183024
2018-05-26 15:38:55.045219;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:55.045687;sensor_1-branch_19;I_real;0.17726471529971943
2018-05-26 15:38:55.045972;sensor_2-node_b5;Vm;10499.624070368354
2018-05-26 15:38:55.046359;sensor_2-branch_24;I_real;0.021456788354053017
2018-05-26 15:38:55.046691;sensor_3-node_b5;Vm;10499.624070368354
2018-05-26 15:38:55.046915;sensor_3-branch_25;I_real;0.09378379788543047
2018-05-26 15:38:55.047181;sensor_4-node_b5;Vm;10499.624070368354
2018-05-26 15:38:55.047339;sensor_4-branch_36;I_real;0.06202412896183024
2018-05-26 15:38:55.546236;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:55.546606;sensor_1-branch_19;I_real;0.17726471529971943
2018-05-26 15:38:55.547094;sensor_2-node_b5;Vm;10499.624070368354
2018-05-26 15:38:55.547723;sensor_2-branch_24;I_real;0.021456788354053017
2018-05-26 15:38:55.548690;sensor_3-node_b5;Vm;10499.624070368354
2018-05-26 15:38:55.549184;sensor_3-branch_25;I_real;0.09378379788543047
2018-05-26 15:38:55.549448;sensor_4-node_b5;Vm;10499.624070368354
2018-05-26 15:38:55.549747;sensor_4-branch_36;I_real;0.06202412896183024
2018-05-26 15:38:56.040718;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:56.040935;sensor_1-branch_19;I_real;0.17726471529971943
2018-05-26 15:38:56.041110;sensor_2-node_b5;Vm;10499.624070368354
2018-05-26 15:38:56.041340;sensor_2-branch_24;I_real;0.021456788354053017
2018-05-26 15:38:56.041521;sensor_3-node_b5;Vm;10499.624070368354
2018-05-26 15:38:56.041702;sensor_3-branch_25;I_real;0.09378379788543047
2018-05-26 15:38:56.041876;sensor_4-node_b5;Vm;10499.624070368354
2018-05-26 15:38:56.042073;sensor_4-branch_36;I_real;0.06202412896183024
2018-05-26 15:38:56.545383;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:56.545926;sensor_1-branch_19;I_real;0.17726471529971943
2018-05-26 15:38:56.546487;sensor_2-node_b5;Vm;10499.624070368354
2018-05-26 15:38:56.546990;sensor_2-branch_24;I_real;0.021456788354053017
2018-05-26 15:38:56.547232;sensor_3-node_b5;Vm;10499.624070368354
2018-05-26 15:38:56.547488;sensor_3-branch_25;I_real;0.09378379788543047
2018-05-26 15:38:56.547819;sensor_4-node_b5;Vm;10499.624070368354
2018-05-26 15:38:56.548194;sensor_4-branch_36;I_real;0.06202412896183024
2018-05-26 15:38:57.048269;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:57.048623;sensor_1-branch_19;I_real;0.17726471529971943
2018-05-26 15:38:57.048896;sensor_2-node_b5;Vm;10499.624070368354
2018-05-26 15:38:57.049063;sensor_2-branch_24;I_real;0.021456788354053017
2018-05-26 15:38:57.049204;sensor_3-node_b5;Vm;10499.624070368354
2018-05-26 15:38:57.049441;sensor_3-branch_25;I_real;0.09378379788543047
2018-05-26 15:38:57.049661;sensor_4-node_b5;Vm;10499.624070368354
2018-05-26 15:38:57.049820;sensor_4-branch_36;I_real;0.06202412896183024
2018-05-26 15:38:57.542971;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:57.543287;sensor_1-branch_19;I_real;0.17726471529971943
2018-05-26 15:38:57.543610;sensor_2-node_b5;Vm;10499.624070368354
2018-05-26 15:38:57.543870;sensor_2-branch_24;I_real;0.021456788354053017
2018-05-26 15:38:57.544027;sensor_3-node_b5;Vm;10499.624070368354
2018-05-26 15:38:57.544162;sensor_3-branch_25;I_real;0.09378379788543047
2018-05-26 15:38:57.544342;sensor_4-node_b5;Vm;10499.624070368354
2018-05-26 15:38:57.544533;sensor_4-branch_36;I_real;0.06202412896183024
2018-05-26 15:38:58.072173;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:58.072507;sensor_1-branch_19;I_real;0.17726471529971943
2018-05-26 15:38:58.072751;sensor_2-node_b5;Vm;10499.624070368354
2018-05-26 15:38:58.073008;sensor_2-branch_24;I_real;0.021456788354053017
2018-05-26 15:38:58.073207;sensor_3-node_b5;Vm;10499.624070368354
2018-05-26 15:38:58.073460;sensor_3-branch_25;I_real;0.09378379788543047
2018-05-26 15:38:58.073763;sensor_4-node_b5;Vm;10499.624070368354
2018-05-26 15:38:58.074025;sensor_4-branch_36;I_real;0.06202412896183024
2018-05-26 15:38:58.550983;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:58.551414;sensor_1-branch_19;I_real;0.17726471529971943
2018-05-26 15:38:58.551576;sensor_2-node_b5;Vm;10499.624070368354
2018-05-26 15:38:58.551720;sensor_2-branch_24;I_real;0.021456788354053017
2018-05-26 15:38:58.551855;sensor_3-node_b5;Vm;10499.624070368354
2018-05-26 15:38:58.551987;sensor_3-branch_25;I_real;0.09378379788543047
2018-05-26 15:38:58.552117;sensor_4-node_b5;Vm;10499.624070368354
2018-05-26 15:38:58.552247;sensor_4-branch_36;I_real;0.06202412896183024
2018-05-26 15:38:59.048012;sensor_1-node_b5;Vm;10499.624070368354
2018-05-26 15:38:59.049424;sensor_1-branch_19;I_real;0.17726471529971943
